reaction,name,imbalance,classes,has_placeholder,localised_metabolites
FOLD3,"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine-diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase","{'H': 1.0, 'charge': 1.0}","H,charge",false,2ahhmd_c
MOD_2mbdhl,"3-methyl-2-oxobutanoate dehydrogenase, 2-Methyl-1-hydroxybutyl-ThPP transforming","{'H': -3.0, 'charge': -3.0}","H,charge",false,2mhob_m
EAR60y,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C6:0),"{'C': -11.0, 'H': -20.0, 'N': -2.0, 'O': -7.0, 'P': -1.0, 'charge': 1.0}","C,H,N,O,P,charge",true,""
EAR181x,enoyl-[acyl-carrier-protein] reductase (NADH) ((11Z)-n-C18:1),"{'C': 11.0, 'H': 20.0, 'O': 7.0, 'R': -1.0, 'charge': -1.0, 'N': 2.0, 'P': 1.0, '*': 1.0}","*,C,H,N,O,P,R,charge",true,""
DVPCHLD450OR,"divinylprotochlorophyllide oxidoreductase (light-dependent, 450 nm)",{'Z': -1.0},Z,true,""
TAGAH1601819Z1835Z9Z12Z,"triacylglycerol acylhydrolase (16:0/18:1(9Z)/18:3(5Z,9Z,12Z))",{'charge': 1.0},charge,false,""
ATDGDm,"ATP:dGDP phosphotransferase, mitochondria","{'H': -1.0, 'charge': -1.0}","H,charge",false,"dgdp_m,dgtp_m"
10FTHFGLULL,10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming),{'charge': 2.0},charge,false,""
ANNAT,ATP:nicotinamide-nucleotide adenylyltransferase,"{'H': -1.0, 'charge': -1.0}","H,charge",false,""
GLPThi,glucose-1-phosphate adenylyltransferase (chloroplast),"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
AMPMSh,4-amino-2-methyl-5-phosphomethylpyrimidine synthetase (S-Adenosyl-L-methionine using),"{'H': -1.0, 'charge': -1.0}","H,charge",false,""
3OAR40,3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0),"{'*': -1.0, 'R': 1.0}","*,R",true,""
FGFTh,"N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide formyltransferase, chloroplast","{'H': -1.0, 'charge': -1.0}","H,charge",false,""
AGDI,"agmatine deiminase, mitochondria","{'H': -1.0, 'charge': -1.0}","H,charge",false,Ncbmpts_m
PHOMSELCYSLh,"O-Phosphorylhomoserine succinate-lyase (adding cysteine), chloroplast","{'H': -1.0, 'charge': -1.0}","H,charge",false,selcyst_h
MACPOMh,malonyl-[acyl-carrier protein] O-methyltransferase,"{'C': -14.0, 'H': -23.0, 'N': -3.0, 'O': -8.0, 'charge': 2.0, 'P': -1.0, '*': -1.0}","*,C,H,N,O,P,charge",true,""
PPGPPDP,"guanosine-3',5'-bis(diphosphate) 3'-diphosphatase","{'H': -1.0, 'charge': -1.0}","H,charge",false,ppgpp_c
PLDAGAT18111Z18111Z1819Z2,phospholipid: diacylglycerol acyltransferase (18:1(9Z)),{'charge': -2.0},charge,false,pa1801819Z_c
PLPSD1819Z1819Z,phospholipase D (18:1(9Z)/18:1(9Z)),{'charge': 2.0},charge,false,""
3OAR140,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0),"{'R': -1.0, '*': 1.0}","*,R",true,""
PLDAGAT1601819Z1819Z2,phospholipid: diacylglycerol acyltransferase (18:1(9Z)),{'charge': -2.0},charge,false,pa1801819Z_c
PLDAGAT18111Z1819Z18111Z2,phospholipid: diacylglycerol acyltransferase (18:1(11Z)),{'charge': -2.0},charge,false,pa18111Z18111Z_c
AGPATCOA18111Z1819Z,1-octadec-11-enoyl-sn-glycerol 3-phosphate O-acyltransferase ((9Z)-C18:1) (CoA substrate),{'charge': 2.0},charge,false,pa18111Z1819Z_c
FADDP,FAD diphosphatase,"{'H': -2.0, 'charge': -2.0}","H,charge",false,""
EAR60x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C6:0),"{'H': -20.0, 'charge': 1.0, 'C': -11.0, 'N': -2.0, 'O': -7.0, 'P': -1.0}","C,H,N,O,P,charge",true,""
GDTP,Guanosine 3'-diphosphate 5'-triphosphate 5'-phosphohydrolase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,ppgpp_c
GLACDH_m,"L-galactono-1,4-lactone dehydrogenase","{'C': -18.0, 'H': -40.0, 'O': -4.0, 'charge': 4.0, 'N': -8.0, 'S': -4.0}","C,H,N,O,S,charge",false,""
GLYTLm,"glycine---tRNA ligase, mitochondria","{'C': -18.0, 'H': -22.0, 'N': -6.0, 'O': -18.0, 'P': -3.0, 'charge': 3.0}","C,H,N,O,P,charge",true,""
GTPCI,"GTP 7,8-8,9-dihydrolase","{'H': 1.0, 'charge': 1.0}","H,charge",false,ahdt_c
KAS14,beta-ketoacyl-ACP synthase,"{'C': -14.0, 'H': -20.0, 'O': -8.0, 'R': -1.0, 'charge': 2.0, 'N': -3.0, 'P': -1.0}","C,H,N,O,P,R,charge",true,""
PCHLD646OR,"protochlorophyllide oxidoreductase (light-dependent, 648 nm)",{'Z': -1.0},Z,true,""
FE2TFENR,release of Fe(II) from transferrin,{'charge': 2.0},charge,true,""
TYRTL,tyrosine---tRNA ligase,"{'C': -18.0, 'H': -23.0, 'N': -6.0, 'O': -18.0, 'P': -3.0, 'charge': 2.0}","C,H,N,O,P,charge",true,""
HIUH,hydroxyisourate hydrolase,"{'H': -1.0, 'charge': -1.0}","H,charge",false,5hiu_m
BUPN,beta-ureidopropionase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,cala_c
MS,5-methyltetrahydropteroyltriglutamate---homocysteine S-methyltransferase,"{'H': -1.0, 'charge': -1.0}","H,charge",false,""
FMETTRS,methionyl-tRNA formyltransferase,"{'C': 10.0, 'H': 17.0, 'O': 13.0, '*': 1.0, 'P': 2.0}","*,C,H,O,P",true,""
gdpme,"GDP-D-mannose 3, 5-epimerase",{'charge': 2.0},charge,false,gdpgal_c
PAPA1819Z1819Zh,"phosphatidate phosphatase (18:1(9Z)/18:1(9Z)), chloroplast",{'charge': -2.0},charge,false,"12dgr1819Z1819Z_h,pa1819Z1819Z_h"
TMPPP2h,thiamine-phosphate diphosphorylase,"{'H': 1.0, 'charge': -1.0}","H,charge",false,""
ASNtm,"Asparagine/H+ symporter, mitochondrial","{'H': 1.0, 'charge': 1.0}","H,charge",false,asn__L_m
SELCYSTL,"Selenocystathionine L-homocysteine-lyase (deaminating), cytosol","{'H': 1.0, 'charge': 1.0}","H,charge",false,"selcyst_c,selhcys_c"
FTCL,5-Formyltetrahydrofolate cyclo-ligase (ADP-forming),"{'H': -1.0, 'charge': -1.0}","H,charge",false,""
SUCDHh,succinate dehydrogenase (chloroplast),"{'H': -2.0, 'charge': -2.0}","H,charge",false,""
CHLASP,chlorophyll a synthase (phytyl),"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
DAGK1601819Z,diacylglycerol kinase (16:0/18:1(9Z)),{'charge': 2.0},charge,false,pa1601819Z_c
PPCOAC,Propionyl-CoA carboxylase,"{'H': -1.0, 'charge': -1.0}","H,charge",false,""
DNTPPA,Dihydroneopterin triphosphate pyrophosphatase,"{'H': -1.0, 'charge': -1.0}","H,charge",false,ahdt_c
LYSTL,lysine---tRNA ligase,"{'C': -18.0, 'H': -21.0, 'N': -6.0, 'O': -18.0, 'charge': 4.0, 'P': -3.0}","C,H,N,O,P,charge",true,""
DGTPtm,"Deoxynucleotide carrier (dgtp), mitochondrial","{'H': 1.0, 'charge': 1.0}","H,charge",false,"dgdp_m,dgtp_m"
PLDAGAT1801819Z18111Z2,phospholipid: diacylglycerol acyltransferase (18:1(11Z)),{'charge': -2.0},charge,false,pa18111Z18111Z_c
MPMECY3,Mg-protoporphyrin IX monomethyl ester (oxidative) cyclase III,"{'H': 2.0, 'charge': 2.0}","H,charge",false,""
HEMELm,heme c ligase (mitochondria),"{'*': -4.0, 'R': 4.0}","*,R",true,""
APPAT,ATP:pantetheine-4'-phosphate adenylyltransferase,"{'H': -1.0, 'charge': -1.0}","H,charge",false,""
PLDAGAT1819Z18111Z18111Z1,phospholipid: diacylglycerol acyltransferase (18:1(11Z)),{'charge': -2.0},charge,false,pa16018111Z_c
LIPOASh,lipoic acid synthetase (octanoyl-ACP),"{'C': -11.0, 'H': -20.0, 'N': -2.0, 'O': -7.0, 'charge': 1.0, '*': -1.0, 'P': -1.0, 'R': 1.0}","*,C,H,N,O,P,R,charge",true,""
SELCYSTLh,"Selenocystathionine L-homocysteine-lyase (deaminating), chloroplast","{'H': 1.0, 'charge': 1.0}","H,charge",false,selcyst_h
ACOA160OR,Palmitoyl-CoA:oxygen 2-oxidoreductase,"{'H': -2.0, 'charge': -2.0}","H,charge",false,""
THFGLUH,gamma-glutamyl hydrolase,"{'H': -2.0, 'charge': -2.0}","H,charge",false,thfglu_c
MOD_4mop,"3-methyl-2-oxobutanoate dehydrogenase, 4-Methyl-2-oxopentanoate transforming","{'H': 3.0, 'charge': 3.0}","H,charge",false,3mhtpp_m
1AGPEAT18111Z1835Z9Z12Z,"1-acylglycerophosphoethanolamine O-acyltransferase (18:1(11Z)/18:3(5Z,12Z,15Z))",{'charge': -4.0},charge,false,""
PLDAGAT18111Z1819Z18111Z1,phospholipid: diacylglycerol acyltransferase (18:1(11Z)),{'charge': -2.0},charge,false,pa16018111Z_c
ACOADAGAT1801819Z1835Z9Z12Z,"acyl-CoA: diacylglycerol acyltransferase (18:3(5Z,9Z,12Z))",{'charge': -4.0},charge,false,""
HEMEOSm,heme o synthase (mitochondria),"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
ITK1K,inositol-tetrakisphosphate 1-kinase,"{'H': -2.0, 'charge': -2.0}","H,charge",false,mi13456p_c
PLDAGAT1819Z1819Z18111Z1,phospholipid: diacylglycerol acyltransferase (18:1(11Z)),{'charge': -2.0},charge,false,pa16018111Z_c
PLDAGAT1819Z18111Z1819Z3,phospholipid: diacylglycerol acyltransferase (18:1(9Z)),{'charge': -2.0},charge,false,pa18111Z1819Z_c
MOD_3mop,"3-methyl-2-oxobutanoate dehydrogenase, 3-Methyl-2-oxopentanoate transforming","{'H': 3.0, 'charge': 3.0}","H,charge",false,2mhob_m
ASPCTm,"aspartate carbamoyltransferase, mitochondria","{'H': -1.0, 'charge': -1.0}","H,charge",false,""
PLDAGAT16018111Z1819Z1,phospholipid: diacylglycerol acyltransferase (18:1(9Z)),{'charge': -2.0},charge,false,pa1601819Z_c
GTHAMPOR,"AMP,sulfite:glutathione-disulfide oxidoreductase (adenosine-5'-phosphosulfate-forming), cytosol","{'H': 1.0, 'charge': 1.0}","H,charge",false,""
PLDAGAT1601819Z1819Z3,phospholipid: diacylglycerol acyltransferase (18:1(9Z)),{'charge': -2.0},charge,false,pa18111Z1819Z_c
CACOAL,Coniferonic acid:CoA ligase (AMP-forming),{'charge': 4.0},charge,false,cacoa_c
PLPSA21819Z1835Z9Z12Z,"phospholipase A2 (18:1(9Z)/18:3(5Z,12Z,15Z))",{'charge': 1.0},charge,false,""
ATGDm,"ATP:GDP phosphotransferase, mitochondria","{'H': -1.0, 'charge': -1.0}","H,charge",false,""
CHLBSG,chlorophyll b synthase (geranylgeranyl),"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
PLDAGAT1819Z1819Z18111Z2,phospholipid: diacylglycerol acyltransferase (18:1(11Z)),{'charge': -2.0},charge,false,pa18111Z18111Z_c
TGUAPRT,thioguanine phosphoribosyltransferase,"{'H': 2.0, 'charge': 2.0}","H,charge",false,""
ARD1,"acireductone dioxygenase, CO forming","{'H': -1.0, 'charge': -1.0}","H,charge",false,""
AACPS4,long-chain-fatty-acid-[acyl-carrier-protein] ligase (16:1(9Z)),"{'H': 18.0, 'C': 11.0, 'N': 2.0, 'O': 7.0, 'P': 1.0}","C,H,N,O,P",true,""
3HAD100,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0),"{'C': 11.0, 'H': 20.0, 'O': 7.0, 'charge': -1.0, 'N': 2.0, 'P': 1.0}","C,H,N,O,P,charge",true,""
ACCOAhi,Acetyl-CoA carboxylase,"{'H': -1.0, 'charge': -1.0}","H,charge",false,""
AGPATCOA16018111Z,1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase ((11Z)-C18:1) (CoA substrate),{'charge': 2.0},charge,false,pa16018111Z_c
PPACOALm,"Propanoate:CoA ligase (AMP-forming), mitochondria","{'H': 1.0, 'charge': 1.0}","H,charge",false,""
3HAD140,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0),"{'C': 11.0, 'H': 20.0, 'O': 7.0, 'charge': -1.0, 'N': 2.0, 'P': 1.0}","C,H,N,O,P,charge",true,""
papa16018111zhCv,"phosphatidate phosphatase (16:0/18:1(11z)), chloroplast",{'charge': -2.0},charge,false,""
CHLAE,chlorophyll a epimerase,"{'H': 1.0, 'charge': -1.0}","H,charge",false,""
PLDAGAT1801819Z1819Z1,phospholipid: diacylglycerol acyltransferase (18:1(9Z)),{'charge': -2.0},charge,false,pa1601819Z_c
HP,"histidinol-phosphatase, cytosol","{'H': -1.0, 'charge': -1.0}","H,charge",false,histd_c
DHPAH,"2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase","{'H': 1.0, 'charge': 1.0}","H,charge",false,""
PLDAGAT1819Z18111Z18111Z2,phospholipid: diacylglycerol acyltransferase (18:1(11Z)),{'charge': -2.0},charge,false,pa18111Z18111Z_c
FTAL,5-Formiminotetrahydrofolate ammonia-lyase (cyclizing),"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
PAPA18111Z160h,phosphatidate phosphatase (18:1(11Z)/16:0),{'charge': -2.0},charge,false,""
FA160ACPHi,fatty-acyl-ACP hydrolase (n-C16:0),{'H': 3.0},H,true,""
ACOADAGAT1801819Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",{'charge': -4.0},charge,false,cacoa_c
PRAISh,"phosphoribosylaminoimidazolesuccinocarboxamide synthase, chloroplast","{'H': -1.0, 'charge': -1.0}","H,charge",false,""
ASNNA1tm,"Asparagine/Na+ symporter, mitochondrial","{'H': 1.0, 'charge': 1.0}","H,charge",false,asn__L_m
SLCS,Selenocysteine synthase,"{'H': 3.0, 'charge': 3.0}","H,charge",true,""
EAR180x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:0),"{'C': 11.0, 'H': 20.0, 'O': 7.0, 'R': -1.0, 'charge': -1.0, 'N': 2.0, 'P': 1.0, '*': 1.0}","*,C,H,N,O,P,R,charge",true,""
DVPCHLD646OR,"divinylprotochlorophyllide oxidoreductase (light-dependent, 648 nm)",{'Z': -1.0},Z,true,""
1AGPEAT1819Z1835Z9Z12Z,"1-acylglycerophosphoethanolamine O-acyltransferase (18:1(9Z)/18:3(5Z,12Z,15Z))",{'charge': -4.0},charge,false,""
ACOA40OR,Butanoyl-CoA:oxygen 2-oxidoreductase,"{'H': -2.0, 'charge': -2.0}","H,charge",false,""
HDH,"histidinol dehydrogenase, cytosol","{'H': 1.0, 'charge': 1.0}","H,charge",false,histd_c
ILETL,isoleucine---tRNA ligase,"{'C': -18.0, 'H': -22.0, 'N': -6.0, 'O': -18.0, 'P': -3.0, 'charge': 3.0}","C,H,N,O,P,charge",true,""
ACOA140OR,"Tetradecanoyl-CoA:(acceptor) 2,3-oxidoreductase","{'H': -2.0, 'charge': -2.0}","H,charge",false,""
PLDAGAT1819Z18111Z1819Z1,phospholipid: diacylglycerol acyltransferase (18:1(9Z)),{'charge': -2.0},charge,false,pa1601819Z_c
ATNAH,(S)(+)-allantoin amidohydrolase,"{'H': -2.0, 'charge': -2.0}","H,charge",false,""
ACOADAGAT18111Z18111Z1835Z9Z12Z,"acyl-CoA: diacylglycerol acyltransferase (18:3(5Z,9Z,12Z))",{'charge': -4.0},charge,false,""
ACOADAGAT18111Z18111Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",{'charge': -4.0},charge,false,cacoa_c
OPC6COAAT,OPC-6:0 CoA:acetyl-CoA acyltransferase,"{'H': -4.0, 'charge': -4.0}","H,charge",false,""
PLDAGAT1801819Z1601,phospholipid: diacylglycerol acyltransferase (16:0),{'charge': -2.0},charge,false,pa18111Z160_c
EAR181y,enoyl-[acyl-carrier-protein] reductase (NADPH) ((11Z)-n-C18:1),"{'H': 20.0, 'charge': -1.0, 'C': 11.0, 'N': 2.0, 'O': 7.0, 'P': 1.0, 'R': -1.0, '*': 1.0}","*,C,H,N,O,P,R,charge",true,""
PLPSD1801845Z9Z12Z15Z,"phospholipase D (18:0/18:4(5Z,9Z,12Z,15Z))",{'charge': 2.0},charge,false,""
ACOATA,beta-ketoacyl-acyl-carrier-protein synthase III,"{'H': -3.0, '*': -1.0, 'R': 1.0}","*,H,R",true,""
3HAD180,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0),"{'*': -1.0, 'R': 1.0}","*,R",true,""
HGACPOh,3-hydroxyglutaryl-[acp]-methyl-ester:NADP+ oxidoreductase,"{'*': -1.0, 'R': 1.0}","*,R",true,""
PRAIS,"phosphoribosylaminoimidazolesuccinocarboxamide synthase, cytosol","{'H': -1.0, 'charge': -1.0}","H,charge",false,5aizc_c
THFGLUS,Tetrahydrofolate:L-glutamate gamma-ligase (ADP-forming),"{'H': 2.0, 'charge': 2.0}","H,charge",false,thfglu_c
EAR140y,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:0),"{'H': -20.0, 'charge': 1.0, 'C': -11.0, 'N': -2.0, 'O': -7.0, 'P': -1.0}","C,H,N,O,P,charge",true,""
HISTL,histidine---tRNA ligase,"{'C': -18.0, 'H': -23.0, 'N': -6.0, 'O': -18.0, 'P': -3.0, 'charge': 2.0}","C,H,N,O,P,charge",true,""
CHLBSP,chlorophyll b synthase (phytyl),"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
3OAS60,3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0),"{'C': -14.0, 'H': -20.0, 'N': -3.0, 'O': -8.0, 'P': -1.0, '*': -1.0, 'charge': 2.0}","*,C,H,N,O,P,charge",true,""
PAPA1819Z1819Z,phosphatidate phosphatase (18:1(9Z)/18:1(9Z)),{'charge': -2.0},charge,false,""
OCTDPS,octaprenyl pyrophosphate synthase,"{'H': 5.0, 'charge': 5.0}","H,charge",false,""
ACOADAGAT1819Z18111Z1835Z9Z12Z,"acyl-CoA: diacylglycerol acyltransferase (18:3(5Z,9Z,12Z))",{'charge': -4.0},charge,false,""
ACOADAGAT18111Z1819Z1835Z9Z12Z,"acyl-CoA: diacylglycerol acyltransferase (18:3(5Z,9Z,12Z))",{'charge': -4.0},charge,false,""
3OAR181,3-oxoacyl-[acyl-carrier-protein] reductase ((11Z)-n-C18:1),"{'C': 11.0, 'H': 20.0, 'O': 7.0, 'R': -1.0, 'charge': -1.0, 'N': 2.0, 'P': 1.0, '*': 1.0}","*,C,H,N,O,P,R,charge",true,""
SQDGS160,sulfolipid synthase (16:0/16:0),{'charge': 1.0},charge,false,""
AOXSh,8-amino-7-oxononanoate synthase (pimeloyl-ACP using),{'H': 3.0},H,true,""
UGAH,ureidoglycine aminohydrolase,{'charge': -1.0},charge,false,udg_m
CDPDAGS18111Z160,CDP-diacylglycerol synthetase (18:1(11Z)/16:0),{'charge': -2.0},charge,false,pa18111Z160_c
ACP1619ZD9DS,acyl-[acyl-carrier-protein] delta9-desaturase ((9Z)-n-C16:1),"{'charge': -1.0, 'H': 20.0, 'O': 7.0, 'C': 11.0, 'N': 2.0, 'P': 1.0}","C,H,N,O,P,charge",true,""
TAGAH1801819Z1835Z9Z12Z,"triacylglycerol acylhydrolase (18:0/18:1(9Z)/18:3(5Z,9Z,12Z))",{'charge': 1.0},charge,false,""
PRDPARh,"5-phosphoribosylamine:diphosphate phospho-alpha-D-ribosyltransferase, chloroplast","{'H': 2.0, 'charge': 2.0}","H,charge",false,""
DAGK1819Z18111Zh,"diacylglycerol kinase (18:1(9Z)/18:1(11Z)), chloroplast",{'charge': 2.0},charge,false,"12dgr1819Z18111Z_h,pa1819Z18111Z_h"
ACOADAGAT1819Z1819Z1835Z9Z12Z,"acyl-CoA: diacylglycerol acyltransferase (18:3(5Z,9Z,12Z))",{'charge': -4.0},charge,false,""
DAGK1819Z1819Zh,"diacylglycerol kinase (18:1(9Z)/18:1(9Z)), chloroplast",{'charge': 2.0},charge,false,"12dgr1819Z1819Z_h,pa1819Z1819Z_h"
ASNtx,"Asparagine/H+ symporter, glyoxysomal","{'H': 1.0, 'charge': 1.0}","H,charge",false,""
PLDAGAT18111Z18111Z18111Z1,phospholipid: diacylglycerol acyltransferase (18:1(11Z)),{'charge': -2.0},charge,false,pa16018111Z_c
PBALm,Pantoate:beta-alanine ligase (AMP-forming),"{'H': 2.0, 'charge': 2.0}","H,charge",false,""
GACPACh,glutaryl-[acp]-methyl-ester:malonyl-[acyl-carrier protein] C-acyltransferase (decarboxylating),"{'C': -14.0, 'H': -20.0, 'N': -3.0, 'O': -8.0, 'P': -1.0, 'charge': 2.0, 'R': -1.0}","C,H,N,O,P,R,charge",true,""
ARGDI,arginine deiminase,"{'H': -1.0, 'charge': -1.0}","H,charge",false,""
ARGSL,argininosuccinate lyase,"{'H': -1.0, 'charge': -1.0}","H,charge",false,""
PLPSD18111Z1835Z9Z12Z,"phospholipase D (18:1(11Z)/18:3(5Z,12Z,15Z))",{'charge': 2.0},charge,false,""
EAR140x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:0),"{'H': -20.0, 'charge': 1.0, 'C': -11.0, 'N': -2.0, 'O': -7.0, 'P': -1.0}","C,H,N,O,P,charge",true,""
PRFGCL,phosphoribosylformylglycinamidine cyclo-ligase,"{'H': -1.0, 'charge': -1.0}","H,charge",false,air_c
PACOAL,Pinolenic acid:CoA ligase (AMP-forming),{'charge': 3.0},charge,false,""
PLPSD1801829Z12Z,"phospholipase D (18:0/18:2(9Z,12Z))",{'charge': 2.0},charge,false,""
CDPDAGS1819Z160,CDP-diacylglycerol synthetase (18:1(9Z)/16:0),{'charge': -2.0},charge,false,""
ACOA120OR,"Lauroyl-CoA:(acceptor) 2,3-oxidoreductase","{'H': -2.0, 'charge': -2.0}","H,charge",false,""
MATm,"methionine adenosyltransferase, mitochondria","{'H': 1.0, 'charge': 1.0}","H,charge",false,""
PLDAGAT1819Z18111Z1819Z2,phospholipid: diacylglycerol acyltransferase (18:1(9Z)),{'charge': -2.0},charge,false,pa1801819Z_c
PAPA1601819Z,phosphatidate phosphatase (16:0/18:1(9Z)),{'charge': -2.0},charge,false,pa1601819Z_c
PLDAGAT18111Z1819Z1601,phospholipid: diacylglycerol acyltransferase (16:0),{'charge': -2.0},charge,false,pa18111Z160_c
AGPATCOA1601819Z,1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase ((9Z)-C18:1) (CoA substrate),{'charge': 2.0},charge,false,pa1601819Z_c
3HAD160,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0),"{'C': -11.0, 'H': -20.0, 'N': -2.0, 'O': -7.0, 'P': -1.0, 'charge': 1.0}","C,H,N,O,P,charge",true,""
AACP1819ZS,long-chain-fatty-acid-[acyl-carrier-protein] ligase (18:1(9Z)),"{'H': -2.0, '*': -1.0, 'charge': 1.0, 'R': 1.0}","*,H,R,charge",true,""
CBFC,cytochrome b6/f complex,{'charge': 2.0},charge,true,""
AKGDHe2r,2-oxoglutarate dehydrogenase E2 component,"{'H': -1.0, 'charge': -1.0}","H,charge",false,""
PPACOALh,"Propanoate:CoA ligase (AMP-forming), chloroplast","{'H': 1.0, 'charge': 1.0}","H,charge",false,""
GUAD,guanine deaminase,"{'H': -1.0, 'charge': -1.0}","H,charge",false,""
DAGK18111Z1819Z,diacylglycerol kinase (18:1(11Z)/18:1(9Z)),{'charge': 2.0},charge,false,pa18111Z1819Z_c
SULR_ferr_2,sulfite reductase (ferredoxin),"{'charge': 1.0, 'H': 1.0}","H,charge",true,""
CYOR_q8_m,ubiquinol-cytochrome c oxidoreductase Complex III,"{'C': -18.0, 'H': -40.0, 'N': -8.0, 'O': -4.0, 'S': -4.0, 'charge': 4.0}","C,H,N,O,S,charge",false,"ficytc_m,focytc_m"
MOD_3mhtpp,"3-methyl-2-oxobutanoate dehydrogenase, 3-Methyl-1-hydroxybutyl-ThPP transforming","{'H': -3.0, 'charge': -3.0}","H,charge",false,3mhtpp_m
3OACOAS,3-oxoacyl-CoA synthase (18:0),"{'H': 1.0, 'charge': 1.0}","H,charge",false,malcoa_c
AHAL,O-acetyl-L-homoserine acetate-lyase,"{'H': -1.0, 'charge': -1.0}","H,charge",true,""
TRPTL,tryptophan---tRNA ligase,"{'C': -18.0, 'H': -23.0, 'N': -6.0, 'O': -18.0, 'P': -3.0, 'charge': 2.0}","C,H,N,O,P,charge",true,""
PLPSD18111Z1829Z12Z,"phospholipase D (18:1(11Z)/18:2(9Z,12Z))",{'charge': 2.0},charge,false,""
3HAD120,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0),"{'C': -11.0, 'H': -20.0, 'N': -2.0, 'O': -7.0, 'P': -1.0, 'charge': 1.0}","C,H,N,O,P,charge",true,""
DMCITALOR,demethylcitalopram:oxygen oxidoreductase (deaminating),"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
DAGK1801819Z,diacylglycerol kinase (18:0/18:1(9Z)),{'charge': 2.0},charge,false,pa1801819Z_c
ACOA80OR,Octanoyl-CoA:oxygen 2-oxidoreductase,"{'H': -2.0, 'charge': -2.0}","H,charge",false,""
PPDKh,pyruvate phosphate dikinase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
GTHAMPORh,"AMP,sulfite:glutathione-disulfide oxidoreductase (adenosine-5'-phosphosulfate-forming), chloroplast","{'H': 1.0, 'charge': 1.0}","H,charge",false,""
PLPSA218111Z1835Z9Z12Z,"phospholipase A2 (18:1(11Z)/18:3(5Z,12Z,15Z))",{'charge': 1.0},charge,false,""
ACHMSSELCYSLh,"O-Acetylhomoserine succinate-lyase (adding cysteine), chloroplast","{'H': -1.0, 'charge': -1.0}","H,charge",false,selcyst_h
GPAR,GMP:diphosphate 5-phospho-alpha-D-ribosyltransferase,"{'H': -1.0, 'charge': -1.0}","H,charge",false,""
3OAR180,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0),"{'C': -11.0, 'H': -20.0, 'N': -2.0, 'O': -7.0, 'P': -1.0, 'charge': 1.0}","C,H,N,O,P,charge",true,""
UDPSQS,UDP-sulfoquinovose synthase,"{'charge': 1.0, 'H': 1.0}","H,charge",false,""
AACPS5,long-chain-fatty-acid-[acyl-carrier-protein] ligase (18:1(11Z)),"{'H': 18.0, 'C': 11.0, 'N': 2.0, 'O': 7.0, 'P': 1.0}","C,H,N,O,P",true,""
PAPA1819Z18111Z,phosphatidate phosphatase (18:1(9Z)/18:1(11Z)),{'charge': -2.0},charge,false,""
SECYSTL,selenocysteine---tRNA ligase,"{'C': 5.0, 'H': 11.0, 'N': -5.0, 'O': 13.0, '*': 2.0, 'charge': -2.0, 'P': 2.0}","*,C,H,N,O,P,charge",true,""
g1ppCv,L-galactose 1-phosphate phosphatase,{'charge': -2.0},charge,false,""
ACOAD10m,"2-methylacyl-coa dehydrogenase, trans-2-Methylbut-2-enoyl-CoA forming","{'H': -2.0, 'charge': -2.0}","H,charge",false,""
GALO,galactose oxidase,"{'H': 1.0, 'O': 1.0, 'charge': -1.0}","H,O,charge",false,""
PBAL,pantoate---beta-alanine ligase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
