id,error_tag,confidence,check,rationale,proposed_fix,evidence,verdict_TP_FP,curator_note,fix_accepted
pchol1801835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,"This metabolite is not found in any database, and the reactions it participates in are not true bigg reactions and have no annotation to another database. This should have raised uncurated_metabolite and possible_fantasy_metabolite. It also should have raised a flag and a note for a reaction_reviewer agent.",0
pchol1801845z9z12z15z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pchol18111z1835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pchol18111z1845z9z12z15z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pchol1819z1845z9z12z15z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pchol1829z12z1835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pdme1801819z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pdme1801829z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pdme1801835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pdme1801845z9z12z15z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pdme18111z1819z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pdme18111z1829z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pdme18111z1835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pdme18111z1845z9z12z15z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pdme1819z1819z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pdme1819z1829z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pdme1819z1835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pdme1819z1845z9z12z15z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pdme1829z12z1835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pme1801819z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pme1801829z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pme1801835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pme1801845z9z12z15z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pme18111z1819z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pme18111z1829z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pme18111z1835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pme18111z1845z9z12z15z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pme1819z1819z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pme1819z1829z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pme1819z1835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pme1819z1845z9z12z15z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
pme1829z12z1835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,FP,Same as above,0
2oglut_h,name_collision,high,name_collision,"name normalises identically to ['akg_h'] in compartment h; same formula; it carries 1 reaction(s) against 22 for akg_h, so 2oglut_h is the likely intruder",merge into akg_h and redirect its reactions,name_key=2oxoglutarate,TP,,1
2oglut_m,name_collision,high,name_collision,"name normalises identically to ['akg_m'] in compartment m; same formula; it carries 1 reaction(s) against 21 for akg_m, so 2oglut_m is the likely intruder",merge into akg_m and redirect its reactions,name_key=2oxoglutarate,TP,,1
h_c,proton_charge_convention,high,proton_convention,"proton species carries charge != +1, which makes every reaction it appears in look charge-unbalanced",set charge to +1 and formula to H,,TP,,1
h_e,proton_charge_convention,high,proton_convention,"proton species carries charge != +1, which makes every reaction it appears in look charge-unbalanced",set charge to +1 and formula to H,,TP,,1
h_h,proton_charge_convention,high,proton_convention,"proton species carries charge != +1, which makes every reaction it appears in look charge-unbalanced",set charge to +1 and formula to H,,TP,,1
h_m,proton_charge_convention,high,proton_convention,"proton species carries charge != +1, which makes every reaction it appears in look charge-unbalanced",set charge to +1 and formula to H,,TP,,1
h_u,proton_charge_convention,high,proton_convention,"proton species carries charge != +1, which makes every reaction it appears in look charge-unbalanced",set charge to +1 and formula to H,,TP,,1
h_x,proton_charge_convention,high,proton_convention,"proton species carries charge != +1, which makes every reaction it appears in look charge-unbalanced",set charge to +1 and formula to H,,TP,,1
<schema>,schema_anomaly,high,schema,column 'keeg.glycan' looks like a misspelling of 'kegg.glycan' and carries 31 values that no check will read,rename 'keeg.glycan' to 'kegg.glycan' and merge the values,keeg.glycan,TP,,1
2oglut_h,shadow_duplicate,high,shadow_duplicate,"unannotated species with 1 reaction(s) has the same formula (C5H4O5) and compartment as akg_h ('2-oxoglutarate', 22 reactions), which is annotated",merge into akg_h and redirect its reactions,hub=akg_h mnxm=MNXM1368744,TP,,1
2oglut_m,shadow_duplicate,high,shadow_duplicate,"unannotated species with 1 reaction(s) has the same formula (C5H4O5) and compartment as akg_m ('2-oxoglutarate', 21 reactions), which is annotated",merge into akg_m and redirect its reactions,hub=akg_m mnxm=MNXM1368744,TP,,1
2oglutm_h,uncurated_name_stub,high,uncurated_name_stub,"name '2oglutm[h]' only restates the identifier, so this species was added without curation","give it a chemical name and a MetaNetX id, or merge it into the species it duplicates",,FP,"This metabolite is a shadow_duplicate of metabolite 2ogm_h. However identification of its shadow duplicate was impossible based on name or reaction context. The reaction it participates is a duplicate of a true reaction found in bigg. The reaction id is not a true bigg id and has no annotation to other databases, however the name matches to a true reaction in BiGG. This metabolite should have raised a flag and a note for a reaction_reviewer agent.",0
gal1p_L_c,uncurated_name_stub,high,uncurated_name_stub,"name 'gal1p-L[c]' only restates the identifier, so this species was added without curation","give it a chemical name and a MetaNetX id, or merge it into the species it duplicates",,FP,"This metabolite is a shadow_duplicate of metabolite gal1p_c. However identification of its shadow duplicate was impossible based on name or reaction context. The reaction it participates is a duplicate of a true reaction found in bigg. The reaction id is not a true bigg id and has no annotation to other databases, however the name matches to a true reaction in BiGG. This metabolite should have raised a flag and a note for a reaction_reviewer agent.",0
hmcit_L_m,uncurated_name_stub,high,uncurated_name_stub,"name 'hmcit-L[m]' only restates the identifier, so this species was added without curation","give it a chemical name and a MetaNetX id, or merge it into the species it duplicates",,FP,"This metabolite is a shadow_duplicate of metabolite hicit_m. However identification of its shadow duplicate was impossible based on name or reaction context. The reaction it participates is a duplicate of a true reaction found in bigg. The reaction id is not a true bigg id and has no annotation to other databases, however the name matches to a true reaction in BiGG. This metabolite should have raised a flag and a note for a reaction_reviewer agent. ",0
